task_id,n_human,n_codeit,dtw_mean_vs_mean,human_bootstrap_ci_lo,human_bootstrap_ci_hi,seed,condition
bc4146bd,5,125,2.1807575757575868,0.8484848484848585,9.390606060606057,17,method2
62ab2642,5,165,1.064150596877861,0.6390541781450902,1.759647995102522,17,method2
7953d61e,3,71,1.3080281986532025,0.6347853535353584,3.4002525252525237,17,method2
48f8583b,6,136,2.2770503387787326,0.9654154715883264,10.654427505507762,17,method2
34b99a2b,1,3,45.396464646464665,45.396464646464665,45.396464646464665,17,method2
f4081712,8,603,1.0265677609427981,0.30984190867006745,5.364902935605907,17,method2
12eac192,3,6,1.2067550505050506,1.2067550505050506,2.776830808080814,17,method2
60c09cac,5,643,3.858121306376339,2.669397678181495,17.883292960711177,42,method2
68b67ca3,10,631,4.473512906846219,1.7853703703704105,9.351526374859613,42,method2
506d28a5,3,548,0.5558922558923121,0.555892255892312,1.5868686868686934,42,method2
0c9aba6e,1,676,10.876683501683392,10.876683501683392,10.876683501683392,42,method2
3194b014,10,474,0.3955944820923679,0.292289988492556,2.057606337637982,42,method2
5d2a5c43,2,380,11.264730639730619,5.410774410774412,22.649831649831654,42,method2
e345f17b,5,566,0.8146223721312394,0.6963093835884324,1.8835349966093116,42,method2
66f2d22f,4,518,12.23746392496394,1.2721861471861067,46.7431457431456,42,method2
9a4bb226,7,639,2.8899831210732607,2.0615611614567504,7.9958120464900055,42,method2
e133d23d,6,400,2.8130695847363,2.7829940375982103,3.2606972035166466,42,method2
070dd51e,9,667,4.883675645342266,3.024075196408517,12.750907407407473,42,method2
195ba7dc,3,394,5.006285072951742,0.6181818181818634,20.545791245791197,42,method2
7039b2d7,8,3,0.9654040404040392,0.365484006734007,4.850738636363644,42,method2
e0fb7511,7,510,1.7657641503795387,1.2865401692325102,3.4871922948846534,42,method2
59341089,9,597,0.9903666292554961,0.5663611422870679,4.3268954981918135,42,method2
f0df5ff0,7,562,3.336093328928373,2.4762422736088183,6.822382852418454,42,method2
d19f7514,4,306,2.999368686868708,0.3986742424242504,24.009890572390653,42,method2
27f8ce4f,2,417,4.069647088165716,4.069647088165716,6.2143658810326095,42,method2
e66aafb8,10,452,1.3405634516253846,0.2635293942374311,5.56545239762424,42,method2
48f8583b,6,182,2.277050338778732,0.7903728644469342,10.660814939518646,42,method2
67b4a34d,4,352,1.8109217171717265,0.32638888888887446,13.668722380050518,42,method2
be03b35f,7,383,1.5974025974026276,0.31132756132757655,9.017379148629214,42,method2
d4b1c2b1,6,480,0.4995735129069021,0.39182809577253935,0.8746507669285353,42,method2
e7639916,8,702,2.3361204322742015,1.6051174490277518,5.0027182693849275,42,method2
e872b94a,6,56,0.4410774410774491,3.306556417559392e-14,0.8383838383838446,42,method2
0c786b71,8,229,2.931397306397316,0.35637889309759546,15.95724760627105,42,method2
7953d61e,3,26,1.3080281986531976,0.6347853535353561,3.42982559974748,42,method2
833dafe3,9,210,2.0081939183501762,1.8190704790964918,6.589536423260387,42,method2
84f2aca1,7,172,5.018907018906995,1.783031783031812,25.018481518481547,42,method2
ed98d772,3,44,3.324728769173215,0.5880097268986206,13.044051627384954,42,method2
bc4146bd,5,132,2.18075757575759,0.8303535353535486,9.402280303030302,42,method2
f5aa3634,12,79,0.661414603134014,0.377493131916919,2.719152584210608,42,method2
00576224,5,89,1.2872053872053923,0.29977553310886873,9.070065937149275,42,method2
60c09cac,5,644,3.918705564966481,2.726566785871178,17.91879892088577,123,method2
68b67ca3,10,669,4.4884065702700235,2.211291351481879,8.798988179419087,123,method2
3194b014,10,265,0.6156470364017537,0.5639794168096219,3.1805920843656748,123,method2
e0fb7511,7,555,1.7657744888514086,1.3506552971937582,3.165641534872278,123,method2
070dd51e,9,205,4.88367564534231,3.0517575056116657,12.095404250841753,123,method2
e345f17b,5,483,0.7772340381036509,0.6765492920927164,1.8125054896794588,123,method2
506d28a5,3,482,0.5558922558923084,0.5558922558923083,1.5868686868686863,123,method2
d19f7514,4,503,2.9993686868687255,0.3986742424242408,11.126893939393938,123,method2
e133d23d,6,375,2.813692480359191,2.72814253647597,3.25106154133935,123,method2
f0df5ff0,7,497,3.3275999882572247,2.473459296745683,7.286767012851488,123,method2
5d2a5c43,2,363,11.264730639730635,5.410774410774412,22.649831649831647,123,method2
7039b2d7,8,236,0.9654040404040419,0.40054924242421924,4.9013489057239115,123,method2
e66aafb8,10,458,1.366904856424483,0.2657202422085581,5.606373560936831,123,method2
0c9aba6e,1,458,10.876683501683491,10.876683501683491,10.876683501683491,123,method2
195ba7dc,3,476,5.00628507295173,0.798653198653219,20.54579124579117,123,method2
f4081712,8,510,1.0247326203208666,0.2817682647553777,5.39959992077639,123,method2
66f2d22f,4,433,12.237463924963965,1.2721861471861167,46.74314574314575,123,method2
67b4a34d,4,348,1.8140891675374533,0.31977656413270866,13.696786425679221,123,method2
27f8ce4f,2,302,4.069647088165617,4.069647088165617,6.214365881032559,123,method2
59341089,9,345,0.990366629255506,0.5478886083052609,3.4304082491582184,123,method2
84db8fc4,2,338,12.617020202020228,0.25737373737378133,49.25747474747484,123,method2
f5aa3634,12,657,44.423470819304136,34.03456965488216,56.06060781425366,123,method2
9a4bb226,7,689,1.683081418930346,1.0383068015142078,6.0621178379038705,123,method2
bc4146bd,5,8,2.1807575757575766,0.8897796717171724,10.032196969696965,123,method2
0c786b71,8,133,2.9313973063973116,0.3268604008838441,16.936795691287873,123,method2
e7639916,8,406,2.1843077215613524,1.4864407230016758,4.499193848023855,123,method2
84f2aca1,7,320,5.018907018907001,1.7830317830317757,16.565730103230127,123,method2
00576224,5,193,1.2795444368846582,0.314278943726273,9.08589987381005,123,method2
833dafe3,9,32,2.0081939183501674,1.7383652058782286,6.393236181257015,123,method2
62ab2642,5,190,1.0640067340067072,0.7255664983164944,2.276296296296302,123,method2
32e9702f,6,303,6.2945439543954596,0.5970522760609496,21.833055668066876,123,method2
ed98d772,3,8,3.3247287691732144,0.5880097268986157,13.044051627384965,123,method2
48f8583b,6,72,2.2770503387787273,0.965415471588304,10.433175375150672,123,method2
7953d61e,3,8,1.3080281986532003,0.6347853535353543,3.4002525252525295,123,method2
ae58858e,7,1,1.5856180856180853,0.9665140993265984,6.77827606421356,123,method2
cd3c21df,11,1,0.4138353229262327,0.303313437404346,0.5326943679216409,123,method2
