task_id,pair,group1,group2,baseline_group,dtw_median_curves,dtw_ci_lo,dtw_ci_hi,l2_median_curves
8597cfd7,pair4,codeit_success,codeit_failed,A,25.2525,,,4.1236
85b81ff1,pair3,human_success,human_failed,B,48.7872,25.001,160.8552,11.6083
85fa5666,pair3,human_success,human_failed,B,307.5738,,,32.3389
88207623,pair3,human_success,human_failed,B,106.5253,,,15.8136
891232d6,pair3,human_success,human_failed,B,97.8904,,,10.0585
896d5239,pair3,human_success,human_failed,B,82.8221,,,21.7504
8a371977,pair3,human_success,human_failed,B,139.9,,,15.3497
8b28cd80,pair3,human_success,human_failed,A,19.6767,,,2.4524
8ba14f53,pair3,human_success,human_failed,A,34.1417,17.2989,63.7475,4.0334
8dae5dfc,pair3,human_success,human_failed,B,37.5412,,,5.1908
8e2edd66,pair1,human_success,codeit_success,A,54.8598,,,6.9604
8e2edd66,pair2,human_failed,codeit_failed,A,52.7447,43.7913,54.8058,6.1797
8e2edd66,pair3,human_success,human_failed,A,11.9486,,,1.5051
8e2edd66,pair4,codeit_success,codeit_failed,A,5.0497,,,1.4988
8ee62060,pair3,human_success,human_failed,B,59.0859,,,6.5344
8fbca751,pair2,human_failed,codeit_failed,B,97.8404,,,11.6032
8fbca751,pair3,human_success,human_failed,B,81.5624,,,9.4881
90347967,pair2,human_failed,codeit_failed,B,7.2138,3.8949,38.7924,0.8352
90347967,pair3,human_success,human_failed,B,83.4395,,,9.3554
903d1b4a,pair3,human_success,human_failed,B,107.1154,,,20.6148
917bccba,pair3,human_success,human_failed,B,90.4304,,,10.7691
929ab4e9,pair1,human_success,codeit_success,B,731.9371,,,79.8268
929ab4e9,pair2,human_failed,codeit_failed,B,51.8952,23.6023,525.9893,6.5533
929ab4e9,pair3,human_success,human_failed,B,703.095,,,75.3798
929ab4e9,pair4,codeit_success,codeit_failed,B,6.9354,,,1.0468
92e50de0,pair3,human_success,human_failed,B,28.1357,,,3.561
9356391f,pair3,human_success,human_failed,B,93.9998,,,10.856
93b4f4b3,pair3,human_success,human_failed,A,31.3835,,,4.6461
93c31fbe,pair3,human_success,human_failed,B,66.8363,,,13.9003
94133066,pair1,human_success,codeit_success,A,24.0144,,,4.9783
94133066,pair2,human_failed,codeit_failed,A,11.0051,11.0051,11.0051,2.5253
94133066,pair3,human_success,human_failed,A,64.3123,,,7.6716
94133066,pair4,codeit_success,codeit_failed,A,10.5687,,,3.1814
94414823,pair3,human_success,human_failed,B,232.0383,,,25.0703
94be5b80,pair3,human_success,human_failed,B,254.4242,,,29.1097
95a58926,pair3,human_success,human_failed,B,437.1721,,,44.8977
963f59bc,pair3,human_success,human_failed,B,925.1801,,,103.503
96a8c0cd,pair3,human_success,human_failed,B,171.4273,84.0957,835.4221,19.0871
97239e3d,pair3,human_success,human_failed,B,48.7573,,,6.2561
9772c176,pair3,human_success,human_failed,B,235.9812,,,28.7881
981571dc,pair3,human_success,human_failed,B,54.7378,,,25.55
992798f6,pair3,human_success,human_failed,B,203.3875,,,46.9841
99306f82,pair2,human_failed,codeit_failed,B,22.4819,,,3.0037
99306f82,pair3,human_success,human_failed,B,43.2537,,,5.3392
9a4bb226,pair1,human_success,codeit_success,A,3.0664,1.8099,4.9984,1.2131
9a4bb226,pair2,human_failed,codeit_failed,A,34.9988,,,4.2372
9a4bb226,pair3,human_success,human_failed,A,44.5994,,,5.4314
9a4bb226,pair4,codeit_success,codeit_failed,A,18.9243,,,3.1941
9b2a60aa,pair3,human_success,human_failed,B,194.0387,45.0057,969.0792,22.8702
9b365c51,pair3,human_success,human_failed,B,26.9174,,,3.2917
9b4c17c4,pair3,human_success,human_failed,B,3.6932,,,5.7521
9bebae7a,pair3,human_success,human_failed,B,82.3549,,,9.5774
9c1e755f,pair3,human_success,human_failed,B,9.3818,,,2.4826
9c56f360,pair3,human_success,human_failed,B,105.1161,,,13.1941
9caba7c3,pair3,human_success,human_failed,B,125.1064,,,17.3297
9ddd00f0,pair3,human_success,human_failed,B,95.5268,,,11.1164
9def23fe,pair3,human_success,human_failed,B,16.4012,,,2.4983
9f27f097,pair3,human_success,human_failed,B,88.4301,,,22.6064
a04b2602,pair3,human_success,human_failed,B,30.9162,,,5.1385
a096bf4d,pair3,human_success,human_failed,B,190.6306,48.7816,665.7933,51.2205
a3f84088,pair2,human_failed,codeit_failed,B,36.2458,,,4.5408
a3f84088,pair3,human_success,human_failed,B,93.9269,,,10.1963
a406ac07,pair3,human_success,human_failed,B,35.115,,,6.3018
a57f2f04,pair3,human_success,human_failed,B,66.6087,,,10.3838
a59b95c0,pair1,human_success,codeit_success,A,24.7131,14.2863,32.9267,4.1816
a59b95c0,pair2,human_failed,codeit_failed,A,0.0,0.0,0.0,0.0
a59b95c0,pair3,human_success,human_failed,A,44.165,27.0299,52.3673,5.4424
a59b95c0,pair4,codeit_success,codeit_failed,A,10.404,,,2.6662
a680ac02,pair3,human_success,human_failed,A,55.8797,,,6.2511
a934301b,pair3,human_success,human_failed,B,82.0894,,,9.9037
aa18de87,pair1,human_success,codeit_success,B,89.3469,70.6843,116.1593,12.1072
aa18de87,pair2,human_failed,codeit_failed,B,118.7067,,,14.4277
aa18de87,pair3,human_success,human_failed,B,27.1556,,,4.0374
aa18de87,pair4,codeit_success,codeit_failed,B,29.0492,,,5.7218
aa4ec2a5,pair3,human_success,human_failed,B,11.5733,,,2.0366
aab50785,pair3,human_success,human_failed,A,57.7223,,,6.6244
ac0c5833,pair3,human_success,human_failed,B,61.3127,,,11.248
ac2e8ecf,pair3,human_success,human_failed,B,170.4764,,,18.5738
ac3e2b04,pair2,human_failed,codeit_failed,B,38.0323,,,4.4922
ac3e2b04,pair3,human_success,human_failed,B,29.994,,,6.0839
ac605cbb,pair3,human_success,human_failed,B,39.0799,16.8007,101.2906,9.1337
ad7e01d0,pair2,human_failed,codeit_failed,A,0.0,0.0,62.9189,0.0
ad7e01d0,pair3,human_success,human_failed,A,89.2647,,,9.0884
ae58858e,pair2,human_failed,codeit_failed,B,14.0292,,,2.2908
ae58858e,pair3,human_success,human_failed,B,82.718,,,13.3296
aee291af,pair3,human_success,human_failed,A,58.771,,,6.5889
af22c60d,pair3,human_success,human_failed,B,20.1288,,,8.8832
af24b4cc,pair3,human_success,human_failed,A,60.45,,,7.1052
b0722778,pair3,human_success,human_failed,A,56.6887,,,6.219
b0f4d537,pair3,human_success,human_failed,A,67.8495,,,7.3145
b1fc8b8e,pair3,human_success,human_failed,A,38.043,,,5.3862
b20f7c8b,pair3,human_success,human_failed,B,46.0917,32.3362,73.2622,5.4103
b457fec5,pair3,human_success,human_failed,B,112.322,,,11.4942
b7999b51,pair3,human_success,human_failed,A,67.4078,,,7.3967
b7cb93ac,pair3,human_success,human_failed,A,42.9066,,,5.336
b7f8a4d8,pair2,human_failed,codeit_failed,B,204.0021,140.069,218.211,26.033
b7f8a4d8,pair3,human_success,human_failed,B,47.0466,,,5.5908
b7fb29bc,pair2,human_failed,codeit_failed,B,94.9463,,,11.1392
b7fb29bc,pair3,human_success,human_failed,B,124.5573,,,14.6888
b942fd60,pair3,human_success,human_failed,B,45.1524,,,4.9932
b9630600,pair3,human_success,human_failed,B,226.8777,,,25.487
baf41dbf,pair3,human_success,human_failed,B,177.9737,,,20.4024
bb52a14b,pair3,human_success,human_failed,B,530.9399,,,109.3021
bbb1b8b6,pair1,human_success,codeit_success,A,7.8171,4.8854,10.2438,1.9495
bbb1b8b6,pair2,human_failed,codeit_failed,A,19.251,,,2.4123
bbb1b8b6,pair3,human_success,human_failed,A,41.6401,,,5.3141
bbb1b8b6,pair4,codeit_success,codeit_failed,A,31.1127,,,3.8436
bc4146bd,pair1,human_success,codeit_success,A,34.7918,15.5125,68.9688,5.3616
bc4146bd,pair2,human_failed,codeit_failed,A,8.8296,0.0,11.25,1.0621
bc4146bd,pair3,human_success,human_failed,A,37.6149,12.5909,72.6196,4.7825
bc4146bd,pair4,codeit_success,codeit_failed,A,4.1818,,,1.7225
bcb3040b,pair3,human_success,human_failed,B,139.6819,,,38.1839
bd14c3bf,pair3,human_success,human_failed,B,61.289,34.9645,98.4324,7.0704
be03b35f,pair1,human_success,codeit_success,A,14.3588,14.3588,35.2877,3.2834
be03b35f,pair2,human_failed,codeit_failed,A,14.3938,,,2.1541
be03b35f,pair3,human_success,human_failed,A,16.5602,,,2.5467
be03b35f,pair4,codeit_success,codeit_failed,A,3.192,,,1.2483
bf32578f,pair3,human_success,human_failed,B,73.962,,,8.5137
bf699163,pair1,human_success,codeit_success,A,12.6643,1.3706,13.2144,2.9494
bf699163,pair4,codeit_success,codeit_failed,A,50.0,,,6.6712
bf89d739,pair3,human_success,human_failed,B,97.4939,,,26.0485
c074846d,pair2,human_failed,codeit_failed,B,588.2063,,,59.9409
c074846d,pair3,human_success,human_failed,B,577.2809,,,61.4998
c1990cce,pair3,human_success,human_failed,A,84.5685,,,8.6755
