task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit,len_human
be03b35f,pair1,1,A,1.75,4.25,275,11
be03b35f,pair1,2,A,0.5,1.0,275,6
be03b35f,pair1,3,A,0.5,1.0,275,6
be03b35f,pair1,4,A,0.5,1.0,275,6
be03b35f,pair1,5,A,0.5,1.0,275,5
cd3c21df,pair1,0,A,1.5,1.8333,11,8
cd3c21df,pair1,1,A,1.5,1.8333,11,8
cd3c21df,pair1,2,A,1.5,1.8333,11,8
cd3c21df,pair1,3,A,0.0,0.0,11,5
cd3c21df,pair1,4,A,1.5,1.8333,11,8
cd3c21df,pair1,5,A,1.6667,1.6667,11,7
cd3c21df,pair1,6,A,1.5,2.5,11,9
cd3c21df,pair1,7,A,1.5,3.3333,11,10
cd3c21df,pair1,8,A,1.5,1.8333,11,8
cd3c21df,pair1,9,A,1.5,3.3333,11,10
cd3c21df,pair1,10,A,1.5,3.5,11,12
d19f7514,pair1,0,A,0.25,0.4583,59,9
d19f7514,pair1,1,A,2.75,4.5,59,30
d19f7514,pair1,2,A,1.75,2.5,59,22
d4b1c2b1,pair1,0,A,2.1289,4.0044,12,12
d4b1c2b1,pair1,1,A,1.4444,1.7778,12,12
d4b1c2b1,pair1,2,A,1.3422,1.3422,12,13
d4b1c2b1,pair1,3,A,2.0,2.2222,12,16
d4b1c2b1,pair1,4,A,2.76,2.9067,12,22
d4b1c2b1,pair1,5,A,31.9156,56.2489,12,228
e0fb7511,pair1,0,B,29.9091,29.9091,2,58
e0fb7511,pair1,1,B,20.6061,20.6061,2,37
e0fb7511,pair1,2,B,39.7576,39.7576,2,91
e0fb7511,pair1,3,B,12.3637,12.3637,2,35
e0fb7511,pair1,4,B,33.4243,33.4243,2,16
e0fb7511,pair1,5,B,9.8485,9.8485,2,28
e0fb7511,pair1,6,B,30.0606,30.0606,2,66
e133d23d,pair1,0,A,1.4444,1.8889,136,12
e133d23d,pair1,1,A,1.0,1.4444,136,9
e133d23d,pair1,2,A,1.0,1.5556,136,8
e133d23d,pair1,3,A,0.8889,1.6667,136,7
e133d23d,pair1,4,A,1.0,1.4444,136,23
e345f17b,pair1,0,A,0.25,1.125,176,7
e345f17b,pair1,1,A,0.25,1.125,176,7
e345f17b,pair1,2,A,0.1875,1.0625,176,5
e345f17b,pair1,3,A,1.6875,2.1875,176,21
e345f17b,pair1,4,A,0.25,1.125,176,7
e66aafb8,pair1,0,A,1.7778,2.2222,690,10
e66aafb8,pair1,1,A,2.1111,3.4444,690,8
e66aafb8,pair1,2,A,1.7778,2.2222,690,10
e66aafb8,pair1,3,A,1.7778,2.2222,690,10
e66aafb8,pair1,4,A,2.1111,2.5556,690,12
e66aafb8,pair1,5,A,1.7778,2.2222,690,10
e66aafb8,pair1,6,A,2.0,2.5556,690,10
e66aafb8,pair1,7,A,1.7778,2.2222,690,10
e66aafb8,pair1,8,A,1.7778,2.2222,690,12
e7639916,pair1,0,B,12.7419,13.0,34,37
e7639916,pair1,1,B,6.6774,11.5484,34,14
e7639916,pair1,2,B,12.6129,12.9677,34,33
e7639916,pair1,3,B,6.6451,11.5161,34,16
e7639916,pair1,4,B,12.6129,12.9677,34,33
e7639916,pair1,5,B,17.8064,22.4838,34,71
e7639916,pair1,6,B,6.3871,6.7419,34,8
e7639916,pair1,7,B,12.8064,17.6774,34,37
e872b94a,pair1,0,A,0.0,1.0,8,6
